Dimension,Accuracy,Sensitivity,Specificity,Time
1,0.7270168067226891,0.7285326953748007,0.9086701948924732,0.0012820225202736734
5,0.7270168067226892,0.7285435178856231,0.9086833772746072,0.0013175856132133334
9,0.7162885154061625,0.7178463203463203,0.9052239835657174,0.0014410693104527578
13,0.7128291316526612,0.7141541353383458,0.9039699125359408,0.0012261220420442041
17,0.7352941176470588,0.7365530303030302,0.9115774455719012,0.0013865385903697723
