Dimension,Accuracy,Sensitivity,Specificity,Time
1,0.8466666666666667,0.8466666666666667,0.9233333333333335,0.0010479036966959635
2,0.8133333333333332,0.8133333333333332,0.9066666666666666,0.0011545689900716147
3,0.8600000000000001,0.86,0.93,0.0013025140762329102
4,0.7666666666666666,0.7666666666666666,0.8833333333333334,0.0012169965108235676
