Dataset,DR_Method,Classifier,Avg_Accuracy,Avg_Sensitivity,Avg_Specificity,Avg_Time,Best_Accuracy,Best_Dimension,Dimensions_Tested
Vehicle,PCA,KNN,0.7185098039215687,0.7200029049897472,0.9059072894511402,0.0027911797057346803,0.7435294117647059,13,5
Vehicle,PCA,simKNN,0.7236890756302522,0.7251259398496239,0.9076249827681281,0.0013306676152707482,0.7352941176470588,17,5
Vehicle,PCA,SVM,0.7849607843137255,0.7867038619275462,0.9281430109988577,0.0019020439009038673,0.7979691876750701,5,5
Vehicle,LDA,KNN,0.7056862745098039,0.7070545682387788,0.9016341470469496,0.0035055434783967604,0.7140056022408963,17,5
Vehicle,LDA,simKNN,0.7158375350140056,0.7169838231943495,0.9049730364281776,0.002186440958696253,0.7327310924369749,17,5
Vehicle,LDA,SVM,0.7858739495798319,0.7876803941672362,0.9284734161447872,0.0027801253808980566,0.8003221288515407,13,5
Vehicle,MDS,KNN,0.7216050420168069,0.7230923900660743,0.9069602749960612,0.16921528031712488,0.7270308123249299,13,5
Vehicle,MDS,simKNN,0.717781512605042,0.7190588402825245,0.9056594951307654,0.1697439333070226,0.7270868347338936,5,5
Vehicle,MDS,SVM,0.789002801120448,0.7908261562998404,0.9294931047894757,0.16838422216955018,0.8028011204481793,13,5
Vehicle,Isomap,KNN,0.709501400560224,0.7108878446115288,0.9029000859131907,0.005648433189766079,0.7258543417366947,9,5
Vehicle,Isomap,simKNN,0.7175434173669468,0.7187592276144907,0.9055724224811927,0.0036718818019418156,0.7259103641456582,1,5
Vehicle,Isomap,SVM,0.7889467787114847,0.7909823422191842,0.9294820659291426,0.004846418718663917,0.8097058823529413,1,5
Vehicle,LLE,KNN,0.7114593837535014,0.7129452039188882,0.9036179724733154,0.004633044916708596,0.7211484593837535,13,5
Vehicle,LLE,simKNN,0.7145434173669467,0.7158423900660742,0.9046416201406122,0.0026664128250100698,0.7400700280112045,9,5
Vehicle,LLE,SVM,0.7960504201680672,0.7980487012987012,0.9318324286600494,0.0038638812560661167,0.8133193277310925,17,5
Vehicle,KernelPCA,KNN,0.7137871148459384,0.7153382889040782,0.9043969897150342,0.004221765969647747,0.7258543417366947,17,5
Vehicle,KernelPCA,simKNN,0.7053025210084033,0.7065909660514924,0.9015115650478555,0.0034893500190489105,0.7223389355742297,9,5
Vehicle,KernelPCA,SVM,0.7803837535014004,0.7821659831396672,0.9266095891675528,0.003481739025489957,0.7884173669467788,1,5
Vehicle,Autoencoder,KNN,0.5645714285714286,0.5656746411483253,0.7213238102623183,0.00667200339408148,0.7176470588235294,5,5
Vehicle,Autoencoder,simKNN,0.5714397759103642,0.572520790612896,0.72363769127378,0.005659412947689452,0.7175630252100842,5,5
Vehicle,Autoencoder,SVM,0.6255574229691877,0.627130268853953,0.7417280053615739,0.006091778346470424,0.7859943977591037,13,5
