Dimension,Accuracy,Sensitivity,Specificity,Time
1,0.8733333333333334,0.8733333333333333,0.9366666666666668,0.00035223801930745445
2,0.8733333333333334,0.8733333333333334,0.9366666666666668,0.0003838109970092774
3,0.8866666666666667,0.8866666666666667,0.9433333333333334,0.0003872044881184896
4,0.8200000000000001,0.82,0.9099999999999999,0.0003901259104410807
