Dimension,Accuracy,Sensitivity,Specificity,Time
1,0.0,0.0,0.0,0.0
2,0.86,0.86,0.93,0.008076070149739583
3,0.8866666666666667,0.8866666666666667,0.9433333333333334,0.0017863766352335612
4,0.9066666666666666,0.9066666666666666,0.9533333333333335,0.0018735901514689123
